"Projektnummer";"Registrationsnummer";"Projekt-Bezeichnung";"Gebaeude-Bezeichnung";"Strasse des Gebäudes";"PLZ";"Ort";"Kanton";"BFS-Nummer";"Labelstatus";"Standard";"Zertifizierungsart";"Zertifizierungsstelle";"Anzahl Gebäude";"Einverstanden";"Mutationsdatum";"Eingereicht";"Provisorisches Zertifikat";"Definitives Zertifikat";"EBF";"Minergie-Kennzahl Anforderung";"Minergie-Kennzahl berechnet";"Heizwärmebedarf Anforderung";"Heizwärmebedarf berechnet";"Solar (m2)";"PV (kWp)";"qh-mp Berechnet";"qh-mp Anforderung";"EGID";"ParzellenNummer";"Gebaeude-Versicherungsnummer";"X-Koordinate";"Y-Koordinate";"ZertifikatGebaeudeInfo";"ZertifikatEnergieInfo";
"60942";"ZH-9002";"Winter World Wallisellen | Trakt C_D";"Trakt C_D";"Zielackerstrasse 24";"8304";"Wallisellen";"ZH";"69";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"0";"2021-02-17 11:20:20";"2019-09-18 16:46:26";"2021-02-17 11:20:20";" ";"723";"45.00";"-58.54";"57.55";"45.00";" ";" ";" ";" ";" ";"8281";" ";" ";" ";"Trakt C_D, Zielackerstrasse 24, 8304 Wallisellen";"Luft-Wärmepumpe, Heizung, Gasfeuerung kondensierend und Photovoltaik";
"60941";"ZH-9001";"Winter World Wallisellen | Trakt B";"Trakt B";"Zielackerstrasse 24";"8304";"Wallisellen";"ZH";"69";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"0";"2021-02-17 11:20:01";"2019-09-18 16:50:34";"2021-02-17 11:20:01";" ";"1323";"46.28";"-60.39";"45.20";"35.88";" ";" ";" ";" ";" ";"8281";" ";" ";" ";"Trakt B, Zielackerstrasse 24, 8304 Wallisellen";"Luft-Wärmepumpe, Heizung, Luft-Wärmepumpe, Warmwasser, Gasfeuerung kondensierend, Gas kondensierend Warmwasser und Photovoltaik";
"60939";"ZH-9000";"Winter World Wallisellen | Trakt A";"Trakt A";"Zielackerstrasse 26";"8304";"Wallisellen";"ZH";"69";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"0";"2021-02-17 11:19:37";"2019-09-18 16:51:35";"2021-02-17 11:19:37";" ";"765";"58.96";"-32.06";"0.00";"0.00";" ";" ";" ";" ";" ";"8281";" ";" ";" ";"Trakt A, Zielackerstrasse 26, 8304 Wallisellen";"Luft-Wärmepumpe, Heizung, Oelfeuerung kondensierend und Photovoltaik";
"61391";"ZH-347-ECO";"Y80, Universität Zürich Irchel";"Y80, Universität Zürich Irchel";"Strickhofstrasse 40a";"8057";"Zürich";"ZH";"261";"provisorisch";"Minergie-ECO";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-05-10 07:36:02";"2019-10-31 10:29:56";"2021-05-10 07:36:02";" ";"3647";"50.64";"45.19";"37.08";"32.20";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";
"61928";"ZH-788-P";"Lindenweg Haus B, Zell";"Lindenweg Haus B";"Lindenweg 7";"8487";"Zell";"ZH";"231";"provisorisch";"Minergie-P";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-05 15:50:10";"2020-02-12 12:55:52";"2021-02-05 15:50:10";" ";"1059.4";"52.26";"46.61";"23.65";"23.61";" ";" ";" ";" ";" ";"7625";" ";" ";" ";"Lindenweg Haus B, Lindenweg 7, 8487 Zell";"Fernwärme (<=25% nicht erneuerbar) und Photovoltaik";
"61942";"ZH-789-P";"Lindenweg Haus C, Zell";"Lindenweg Haus C";"Lindenweg 6";"8487";"Zell";"ZH";"231";"provisorisch";"Minergie-P";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-05 15:51:20";"2020-02-12 12:57:38";"2021-02-05 15:51:20";" ";"1026.9";"51.82";"46.55";"23.85";"23.33";" ";" ";" ";" ";" ";"7625";" ";" ";" ";"Lindenweg Haus C, Lindenweg 6, 8487 Zell";"Fernwärme (<=25% nicht erneuerbar) und Photovoltaik";
"61943";"ZH-790-P";"Lindenweg Haus D, Zell";"Lindenweg Haus D";"Lindenweg 5";"8487";"Zell";"ZH";"231";"provisorisch";"Minergie-P";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-05 15:52:03";"2020-02-12 12:58:38";"2021-02-05 15:52:03";" ";"1147.5";"53.97";"48.67";"23.23";"22.67";" ";" ";" ";" ";" ";"7625";" ";" ";" ";"Lindenweg Haus D, Lindenweg 5, 8487 Zell";"Fernwärme (<=25% nicht erneuerbar) und Photovoltaik";
"61944";"ZH-791-P";"Lindenweg Haus E, Zell";"Lindenweg Haus E";"Lindenweg 3";"8487";"Zell";"ZH";"231";"provisorisch";"Minergie-P";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-05 15:52:39";"2020-02-12 12:59:38";"2021-02-05 15:52:39";" ";"1055.3";"51.82";"47.38";"25.00";"25.00";" ";" ";" ";" ";" ";"7625";" ";" ";" ";"Lindenweg Haus E, Lindenweg 3, 8487 Zell";"Fernwärme (<=25% nicht erneuerbar) und Photovoltaik";
"61945";"ZH-793-P";"Lindenweg Haus F, Zell";"Lindenweg Haus F";"Lindenweg 4";"8487";"Zell";"ZH";"231";"provisorisch";"Minergie-P";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-15 08:07:26";"2020-02-12 13:00:34";"2021-02-15 08:07:26";" ";"1426.7";"51.82";"46.72";"24.17";"23.92";" ";" ";" ";" ";" ";"7625";" ";" ";" ";"Lindenweg Haus F, Lindenweg 4, 8487 Zell";"Fernwärme (<=25% nicht erneuerbar) und Photovoltaik";
"61946";"ZH-794-P";"Lindenweg Haus G, Zell";"Lindenweg Haus G";"Lindenweg 2";"8487";"Zell";"ZH";"231";"provisorisch";"Minergie-P";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-15 08:08:06";"2020-02-12 13:02:28";"2021-02-15 08:08:06";" ";"1516.1";"52.35";"46.50";"23.33";"22.78";" ";" ";" ";" ";" ";"7625";" ";" ";" ";"Lindenweg Haus G, Lindenweg 2, 8487 Zell";"Fernwärme (<=25% nicht erneuerbar) und Photovoltaik";
